model,year,kilometers,price,description
Nissan Versa,2017,87948,6100,DESCRIPCIÓN CALIFICACIONES SEGURIDAD vehiculo listo para manejar papeles en regla detallitos estericos tapiceria en buenas condiciones motor economico aire acondicionado cd player vidrios manuales interesados escribir al whaapp no se acaptan trasferencias internacionales se vende por motivos de viaje taraspaso directo
Mitsubishi Mirage G4,2019,72300,7900,"Financiamiento: no Color : Gris Claro Vendo Mitsubishi Mirage G4 2019 Motor 1200 cc (35mpg/56 kmpg apróx.) Caja automática continuamente variable Portavasos doble en asiento trasero Rines de acero de 15 pulgadas con tapones Frenos ABS Alarma antirrobo Espejos, seguros y vidrios eléctricos Aire acondicionado (8.3°C- 9.0°C suministro) Controles de audio al volante Reproductor de música con puerto USB y conexión Bluetooth Sistema de sonido de dos bocinas Pantalla de 7"" Sistema Antiderrape Alfombras de piso de Fábrica Mantenimiento al día 72,300 millas Poco Negociable Muestro a interesados en Santa Tecla, Meliot o Escalón. Solo Efectivo, no cambios. Interesad llamar al"
Toyota Yaris,2008,125000,7500,"Financiamiento: no Precio negociable: si DESCRIPCIÓN CALIFICACIONES SEGURIDAD Toyota Yaris 2008 (Agencia ESTANDAR) Motor 1NZ - 1.3 CC Estándar Vidrios y espejos eléctricos Aire acondicionado helando perfectamente Tapicería en buen estado CF Player Kenwood Pintura en buen estado Rines especiales Recorrido 120,000 km Sistema ABS Ningún check encendido Bolsa de aire Buenas Entregó sus manuales originales A TODA PRUEBA Tarjeta a mi nombre Precio $7500 poco negociables Se muestra solamente en Sonsonate , CON CITA PREVIA ,más información"
Kia Cerato,2017,86000,12200,"Kia CERATO de Agencia, motor 1.6 super económico, full extras, todavía con un mantenimiento pendiente en agencia. Frenos recién cambiados. Estándar 6 velocidades, bluetooth AC, doble aire acondicionado. NO CHOCADO. Dos bolsas de aire de fábrica. Frenos ABS."
Toyota Corolla,2019,0,14600,Precio negociable: si Color : Cafe Venta de toyota corrolla LE 2019 en excelentes condiciones.
Toyota Corolla,2001,0,0,DESCRIPCIÓN CALIFICACIONES SEGURIDAD Estandar Motor 1.8 Rines especiales Llantas en buen estado Silvines Black Housing A/c Vidrios manuales
Chevrolet Sonic,2017,86,7200,Color : Gris DESCRIPCIÓN ARTÍCULOS CALIFICACIONES SEGURIDAD - Motor 1.4 + Turbo - 86 mil millas - Mantenimiento al día - Asientos de cuero - Rines especiales - Pantalla Touch (CarPlay/AndroidAuto) *Precio Negociable*
Hyundai Accent,2013,100000,6400,Precio negociable: si Color : Gris oscuro DESCRIPCIÓN CALIFICACIONES SEGURIDAD VENTA O CAMBIO AC BUEN SONIDO RECIÉN PINTADO VIDRIOS Y ESPEJOS ELÉCTRICOS BATERÍA NUEVA ECONÓMICO HALOGENAS NUEVAS ETC. TAPICERIA 8.5/10 AUTOMÁTICO SECUENCIAL SOLO 1 COMPRAVENTA HAY QUE CAMBIARLE BALEROS ALA LLANTA DELANTERA DETALLES DE TAPICERIA (NADA GRAVE) MUY NEG.
Honda Civic,2017,88590,11500,"Color : Gris DESCRIPCIÓN ARTÍCULOS CALIFICACIONES SEGURIDAD Vendo mi 2017 honda civic Lx - motor 2.0 K20C2 Económico - 88,590 millas originales - 5 pasajeros - caja automática - 3 modos de manejo, sport, normal, eco. - approx 27.5 mpg modo normal - NO CAMBIOS, NO PAGOS. - mecánicamente está perfecto lo pueden verificar con su mecánico OBD2 lo que quiera. - llantas 70%, rin 17x9 Es2 - se vende con o sin el sistema de sonido Marca Xfire 3000d amp // Xfire 12D11 subwoofer de 1500 watt rms reales, instalado en Car Toys merliot. - batería Optima De Gel menos de 4 meses de vieja. Carro se usa a diario asi que las millas incrementan. - no quema aceite, no tiene fugas, Aire acondicionado al 100% - Luces LED alta y baja. - cuenta con camara de retroceso de agencia con su pantalla de agencia, audio con bluetooth, USB, ipod."
Mitsubishi Lancer,2017,47250,13500,"Garantía: Como es visto no hay garantía Financiamiento: si Precio negociable: si Color : Gris Vendo derecho $6300 Mitsubishi lancer 2017 4 puertas De agencia kilometraje 49,000 Nunca chocado estándar excelente pintura"
Nissan Sentra,2018,126880,8500,Color : Gris
Honda Civic,2018,58266,12500,Color : Negro
Mitsubishi Mirage G4,2020,69000,8500,"Garantía: Garantía Incluida preguntar por los detalles Financiamiento: no Precio negociable: si Color : Gris Oscuro Se vende Mitsubishi Mirage G4 2020 Limited Edition 69,000 millas recorridas A/C funcionando 100% Cambios de aceite realizados recientes Precio $8,500 negociables Disponible a toda revision Se muestra unicamente en gasolinera Puma Pedregal Tel. De contacto"
Jeep Renegade,2019,48000,12600,Precio negociable: si Color : Naranjado
Kia RIO,2013,124000,7700,"Precio negociable: si Color : Blanco DESCRIPCIÓN CALIFICACIONES SEGURIDAD KIA Rio Modelo EX, AGENCIA, Año 2013, Motor 1400 - Gasolina - Económico, AC, 6 Velocidades + Retroceso, 5 Rines Especiales Fábrica (4 + Llanta de Repuesto), Llantas Nuevas, AA 101%, Mantenimiento Al Día, Tapicería Tela, Mandos al Timón, Paquete Eléctrico, ÚNICO DUEÑO - NUNCA CHOCADO - A TODA PRUEBA"
Nissan Versa,2014,171356,6700,"Garantía: Como es visto no hay garantía Financiamiento: no Precio negociable: si Color : Gris DESCRIPCIÓN CALIFICACIONES SEGURIDAD Se vende Nissan Versa año 2014, tipo sedan de 4 puertas, motor 1.6 lt, transmisión manual, rines especiales, placas salvadoreñas, puertas y vidrios manuales, con 106,476 millas. Precio $6,700.00 NEGOCIABLE."
Hyundai Elantra,2017,57000,13500,"Financiamiento: no Precio negociable: si Color : Blanco perlado DESCRIPCIÓN CALIFICACIONES SEGURIDAD Todas sus bolsas buenas -Frente intacto 100% original de fábrica -57,000 Millas -Motor: 1.6 cc Turbo -Transmisión: Manual (Standard) -6 Velocidades + Retroceso -El carro tiene todas sus piezas de fábrica 100% originales, nada chino -$13,500 negociables (si no está interesado por favor no pida fotos o Vin solo por curiosidad) -No pida verlo en gasolineras, el vehículo se encuentra en un complejo privado en Ilopango, San Salvador -Lleve su mecánico con toda confianza -Motor y Caja impecables a toda prueba -Tengo reporte completo del Scanner -Llantas nuevas y rines 100% impecables Solo personas interesadas!! Teléfono:"
Hyundai Accent,2014,7600,7600,Precio negociable: si Color : Plateado DESCRIPCIÓN CALIFICACIONES SEGURIDAD Tapicería en buen estado Pintura mínimos detalles Sistema eléctrico Transmisión automática secuencial Rines con copa Cinco llantas Aceite sintético (caja y motor) Bolsas de aire buenas
Nissan Versa,2017,83330,8000,Garantía: Extensa garantía disponible. Solicitar detalles. Precio negociable: si Color : Gris DESCRIPCIÓN CALIFICACIONES SEGURIDAD Nissan Versa SV 2017
Nissan Sentra,2013,74000,5500,Precio negociable: si Color : Gris DESCRIPCIÓN CALIFICACIONES SEGURIDAD 4 puertas. automatico
