description,description_id
"Color : Plata Iridio Metalizado
De agencia, para los más exigentes, con mucha comodidad y calidad.
En excelente estado sin intermediarios, bolsas buenas, carrocería en perfecto estado, ha tenido uso familiar. Venta directa sin intermediarios.",11
"Garantía: Como es visto no hay garantía
Precio negociable: si
Color : ocre
Se vende Mitsubishi modelo Mirage año 2000

De uso diario
Transmisión automática
4 puertas
Aire acondicionado
Tapicera en buen estado
Estéreo Sony
Motor 1.6 super económico
Vidrios manuales
Contiene sistema de alarma antirrobo
Traspaso directo

Detalles estéticos reparables",12
"Financiamiento: no
Precio negociable: si
Color : Gris claro
DESCRIPCIÓN
CALIFICACIÓN
SEGURIDAD
Toyota Yaris 2015 Agencia

Motor 1.3 CC
AUTOMÁTICO
Tapicería 10/10
Pintura 9/10
Rines especiales y Llantas Michelin 9/10
Vidrios y espejos eléctricos
Sistema ABS
Recorrido 104,000 KM
Bolsas buenas no chocado
CD player original con Bluetooth
Ningún check encendido
Aire Helando perfectamente
Mantenimiento en AGENCIA
Último mantenimiento Enero 2023 entregó comprobante
Nada de invertirle solo de subirse , segundos dueños
Traspaso sin compra-ventas

Precio : $12,300 poco negociables
Se muestra únicamente en Sonsonate con Cita previa
Más información",13
"Garantía: Como es visto no hay garantía
Financiamiento: no
Color : Gris Plata
DESCRIPCIÓN
CALIFICACIÓN
SEGURIDAD
Ford Focus 2007 en excelente estado.
Sedan Automatico 4 puertas.",14
"Color : Rojo.
Interesados Illamarme  . Version FULL EXTRAS 2013. Vendo NO cambios. Muestro en San Miguel. Motor 1.4 de 4 cilindros TURBO. Economico y Potente . Economia en consumo de combustible. Ideal para paseos en familia . Estilo Sedan 4 puertas + Baul espacioso. Transmision Manual 6 velocidades + Retroceso. Aire Acondicionado Heladito. Pantalla Tactil . Sonido Alpine potente Premium . USB , AUX , CD ,  AV , SD. Doble salida de escape. Apoya cabezas en todos los asientos. Tablero con luces Neon regulables. Camara de Retroceso. Vidrios y espejos electricos . Mandos al Timon . Frenos ABS . Bateria LTH HI TECH nueva. Baul Espacioso con su llanta de repuesto, mica y quita tuercas. Vidrios Polarizados . Mantenimientos al dia . Aceite de caja nuevo . Aceite de motor nuevo . Bujias nuevas . Sin fugas ni liqueos . Llantas perfil ancho casi nuevas. Ya solo esta de subirse . Motor parejito y suave . Sin pilotos encendidos.",15
"Precio negociable: si
Nissan Juke 2016 en excelente condición súper sanita, 4×2 motor 1.6 con turbo, luces LED, no provenía de inundación, traía poco golpe en bomper frontal, tiene 5 puertas, llave de proximidad, con pantalla LCD, camara de retroceso de 360 , rines de aluminio, el vehículo está rebajado 5%, millas 73,642 REALES, precio NEGOCIABLE",16
"Precio negociable: si
Color : Azul
DESCRIPCIÓN
CALIFICACIÓN
SEGURIDAD
Motor 4 Cilindros",17
"Garantía: Como es visto no hay garantía
Financiamiento: no
Precio negociable: no
Color : BLANCO
DESCRIPCIÓN
CALIFICACIÓN
SEGURIDAD
NISSAN SENTRA SV 2017, MOTOR 1.8 MODO ECO/SPORT, AUTOMÁTICO, VIDRIOS Y ESPEJOS ELÉCTRICOS, CONTROLES DE AUDIO AL VOLANTE, BLUETOOTH, LLAVE DE PROXIMIDAD, ENCENDIDO DE BOTÓN, PANTALLA, CÁMARA DE RETROCESO, BOLSAS BUENAS
$7,075!!
INGRESA A ADUANA RANSA TERCERA SEMANA DEL MES DE FEBRERO

PUEDES RESERVAR
MAYOR INFORMACIÓN O RESERVAS",18
"Financiamiento: no
Precio negociable: si
Full extras , caja automatica secuencial de 6 velocidades, capacidad para 5 pasajeros, 4 puertas, mandos al volante y por comandos de voz, modos de manejo normal y sport, pantalla lcd, bluetooth, android auto y apple car-play, A/C, camara de retroceso, luces automáticas, freno de disco en 4 ruedas
*Fotos reales y traspaso directo, se muestra en sonsonate",19
"Financiamiento: no
Precio negociable: si
Color : Ocre
Año: 2001
Motor: 1.8
Color: Ocre
Polarizado
Millas: 121580
Cuatro puertas
Vidrios automaticos
Automatico
No calienta
Sistema de transmisión funcionando al 100, reciente cambio de aceite de caja y motor.

Detalles:
-Aire a revisar
-Detalles de pintura
-Parabrisas",20
"Precio negociable: si
Color : Negro
DESCRIPCIÓN
CALIFICACIÓN
SEGURIDAD
Vehiculo tipo sedan Año 2016 con mantenimiento al dia realizado en diciembre 2022. FULL EXTRAS
Motor GDI 1.6 Automatico Secuencial.
Mandos al timon mas Alarma de fabrica
Informacion para compra Inbox o
PRECIO NEGOCIABLE
Control de llave original y Cierre Central
Frenos de disco excelente estado en 4 llantas
Sistema ABS
Sistema ECO
Cd player de fabrica con bluetooh
Usb y auxiliar
Vidrios y espejos electricos
Aire acondicionado excelente
No tiene ninguna falla y sus codigos estan bien.
DE USO FAMILIAR SE VENDE POR ESPACIO SE COMPRO OTRO.
SE MUESTRA EN GASOLINERAS PUEDE TRAER SU MECANICO PARA VERIFICAR NO TIENE DETALLES.",21
"Precio negociable: si
Color : Negro
**Mazda 3 con detalles de tapicería y pintura como puede apreciar en las fotografías.
**El problema es un temblor en el motor posiblemente sea un soporte de caja o motor, y aire a revisar. Y por el trabajo no puedo ir a revisar.
**Motor 2.0
**Automático
**Negociable
**Llantas 70%
**
**Traspaso Directo
** Negociable",22
"Color : NEGRO
YA TIENE PLACAS
WhatsApp o Telegram
No se aceptan cambios o vehículos a cuenta
$11,500
Motor 2.0
Bolsas frontales intactas
Entrada con llave de proximidad con botón de arranque
Alfombras de habitáculo originales
Alfombra de baúl rígida y flexible reversible para todo clima
Techo corredizo y inclinable eléctrico de vidrio
Luces de circulación diurna LED
Espejo retrovisor con atenuación automática
con brújula y HomeLink
Volante forrado en cuero
y palanca de cambios
Temperatura automática de doble zona
control con desempañador automático
Luces de aproximación de la manija de la puerta
Baúl inteligente manos libres
Asientos delanteros con calefacción
Espejos de cortesía iluminados con
extensiones de parasol
Ventana de subida automática del conductor con un solo toque
Bolsillo en el respaldo del asiento del pasajero delantero
Detección de punto ciego con
Alerta de tráfico cruzado trasero y
Asistente de cambio de carril
Cámara retrovisor con guías de dirección de estacionamiento
Pantalla táctil de 7 AM/FM/XM/MP3
sistema de audio con 6 parlantes
Llantas de aleación de 16 con neumáticos 205/55R16
Frenos de disco frontales y posteriores
Android auto y Apple car
Portavasos en la consola central trasera
Burbujas en ventanas laterales
Llanta de repuesto con herramientas de cambio",23
"Precio negociable: si
DESCRIPCIÓN
CALIFICACIÓN
SEGURIDAD
NEGOCIABLE • Motor 2.0 • 112,000 millas • A/C funcionando Excelente • Polarizado reciente • Cambio de aceite de motor reciente • Cierre central • Ajuste de asiento eléctrico • Frenos en excelente estado • Llantas Americanas en buen estado • Controles en el volante",24
"Precio negociable: si
Color : Blanco
DESCRIPCIÓN
CALIFICACIÓN
SEGURIDAD
A toda prueba
Detalles superficiales en pintura
Aire al 100%
Llantas al 80%
Dos ventanas no bajan ni suben
Se deja a precio para arreglar detalles.
Traspaso Directo
Puede hacer las pruebas que desee",25
"Precio negociable: si
Vendo kia río 2018 en optimas condiciones
51,000 millas.
Mantenimiento al día
3 modos de manejo (automático, sport y secuencial
A/C en perfecto estado
Motor 1.6
A toda prueba
Traspaso directo
Pintura aceptable
Cierre central

Precio poco negociable
cualquier duda quedó a la orden",26
"Financiamiento: si
Color : Azul
DESCRIPCIÓN
CALIFICACIÓN
SEGURIDAD",27
"Precio negociable: si
Color : Negro
DESCRIPCIÓN
CALIFICACIÓN
SEGURIDAD
Vendo toyota corolla 2017, con todos sus mantenimientos al dia, funciona al 100% cero fallas, muestro unicamente en san salvador. Perfecto estado

Puede traer su mecanico si gusta.",28
"Precio negociable: si
Color : Negro
SEDAN CON TAN SOLO 38MIL MILLAS ORIGINALES COMPROBABLES, BOLSAS BUENAS , TAPICERIA NITIDA, TODO EN MUY BUENAS CONDICIONES CON SU AIRE AL 100% . FULL ELECTRICO, PANTALLA, CAMARA, ETC. NO SE COMPLIQUE . SOLO 38 MIL MILLAS REALES . MOTOR Y CAJA A TODA PRUEBA.
NO SE RECIBE VEHICULO A CUENTA
NO INTERMEDIARIOS
11900. NEGOCIABLES",29
"Garantía: Como es visto no hay garantía
Financiamiento: no
Precio negociable: si
Color : GRIS
DESCRIPCIÓN
ARTÍCULOS
CALIFICACIÓN
SEGURIDAD
¡VEHÍCULO YA CON PLACAS LISTAS!


CHEVROLET SPARK 2016 STANDAR $7,500.00 (02)

Para mayor información puede comunicarse al por medio de llamada o WhatsApp.

Link pagina web:




CARACTERÍSTICAS:

- Arranca y rueda.
- 75,005 KILOMETROS actuales.
- Vehiculo de agencia.
- Bolsas buenas.
- Llave presente.
- Vidrios frontales electricos.
- Transmisión manual.
- Motor 1.2 L de 4 CIL.
- Barras de techo.
- Rines especiales.
- Halógenos.

PRECIO: $7,500.00 FUERA DE ADUANA

PARA MAYOR INFORMACIÓN COMUNICARSE AL TELÉFONO O WHATSAPP: / .

#sedan #importaciondevehiculos #carros #ventadevehiculos #venta #importacion #ventacarros #Chevrolet #chevrolet #chevroletspark #chevroletspark #spark",30
"DESCRIPCIÓN
CALIFICACIÓN
SEGURIDAD
vendo o cambio civic si 2014
standar
6 velocidades
llave de proximidad
Cámara lateral y trasera
sunrof
a/c al 100
rines especiales
mayor información
WhatsApp o llamadas",31
"Precio negociable: si
Color : Celeste
DESCRIPCIÓN
CALIFICACIÓN
SEGURIDAD
El carro es Toyota Yaris 2008, color celeste, eléctrico. 2 puertas. A/C, 1 bolsa de aire buena, automático. Super económico",32
"Color : Negro
DESCRIPCIÓN
CALIFICACIÓN
SEGURIDAD
Nissan Sentra 2013 automático
Sin fallas ni ruidos, tapicería nítida, aire nítido. Todo en excelente estado.
Súper económico.
$6500
Traspaso directo.
Muestro en la gasolinera Texaco de San Rafael Cedros.",33
"Precio negociable: si
Color : Blanco
TIPO SEDAN, 4 PUERTAS, RINES ESPECIALES, CARROCERIA Y TAPICERIA NITIDA, COLOR BLANCO, MOTOR A TODA PRUEBA. INFORMACION AL o",34
"Financiamiento: no
Precio negociable: si
Color : Gris
Ford Figo 2017
-Todas las llanatas nueva
-Mantenimiento de agencia al día",35
"Precio negociable: si
Color : Gris
DESCRIPCIÓN
ARTÍCULOS
CALIFICACIÓN
SEGURIDAD
PRECIO NEGOCIABLE, las llantas se cambiaron, las 4, hace un mes (poco uso).",36
"DESCRIPCIÓN
CALIFICACIÓN
SEGURIDAD
Nissan Versa 2014 en excelentes condiciones, 100% nítido, sin ningún problema, mantenimiento al día

- Transmisión automática
- Motor intacto
- Cambio de llantas recientes
- Todo funcionando al 100%
- A toda prueba",37
"Color : Beige
DESCRIPCIÓN
ARTÍCULOS
CALIFICACIÓN
SEGURIDAD
Bolsas de aire buenas, aire acondicionado, rines especiales, automático.",38
"Color : Azul
DESCRIPCIÓN
CALIFICACIÓN
SEGURIDAD
SE VENDE NISSAN VERSA 2017 SV FULL EXTRAS MOTOR 1.6 AUTOMATICO RECIEN IMPORTADO, YA CON PLACAS. 75,000 MILLAS EN OPTIMAS CONDICIONES,INGRESO AL PAIS CON POCO GOLPE, A TODA PRUEBA MECANICA, CERO CODIGOS ENCENDIDOS, BOLSAS FRONTALES BUENAS. TRATO DIRECTO, VIDRIOS Y ESPEJOS ELECTRICOS, AIRE ACONDICIONADO FUNCIONANDO AL 100% YA POLARIZADO SOLO DE SUBIRSE, NO HAY QUE INVERTIRLE NADA. PRECIO POCO NEGOCIABLE.",39
"Garantía: Como es visto no hay garantía
FORD FIESTA 2019 LISTO PARA TI, PARA TU USO FAMILIAR O TRASLADARTE A TU TRABAJO!! $8,150.00 NEGOCIABLE TRASPASO DIRECTO 38010 MILLAS REALES A/C FUNCIONANDO AL CAMBIO ACEITE AL DIA! LLAVE CON CHIP! CÁMARA RETROCESO! PARABRISAS RECIÉN CAMBIADO MOTOR 1.6 SUPER ECONOMICO LLAVE CON CIERRE CENTRAL APERTURA DE BAÚL CON BOTON AUTOMATICO ESPEJOS ELECTRICOS vidrios manuales CD PLAYER ORIGINAL CD USB MP3 BLUETOOTH MUSIC AUXILIAR 3.5 MM MANDOS AL TIMON Tapiceria 99% Llantas 90% Detalles estéticos de pintura como todo carro usado Se vende por motivos de viaje ojo se muestra en metrocentro san salvador o zona comerciales de san salvador Mas información por WhatsApp o llamada &amp;amp; Bendiciones",40
"DESCRIPCIÓN
CALIFICACIÓN
SEGURIDAD
NEGOCIABLE",41
"Precio negociable: si
Color : Gris
Se Vende !!

$8500 ¡¡ NEGOCIABLES !!

En perfecto estado, super lujoso.

Favor contactarse a:
(WhatsApp)
(Fijo)

Con Ing. José Larios
Solo en horario de oficinas.",42
"Precio negociable: si
Color : Blanco Perla
DESCRIPCIÓN
CALIFICACIÓN
SEGURIDAD
Se vende 2014 Hyundai sonata GLS Top of the Line. En optimas condiciones... Rines especiales, Panoramic Vista Roof... Acientos de cueros. Push To Start Boton de arranque.... etc, etc
$6 950 precio negociable... interesados llamar a Julio",43
"Financiamiento: no
Precio negociable: si
Color : Blanco
DESCRIPCIÓN
CALIFICACIÓN
SEGURIDAD
Automático
Motor 2.4,
Los 4 amortiguadores nuevos
Cierre central
A/C. Funcionando
llamar.
Precio $2,900
Hyundai Sonata V6
Documentos al dia y a mi nombre.",44
"Color : Gris Oscuro (Charcole)
DESCRIPCIÓN
CALIFICACIÓN
SEGURIDAD
* Nissan Sentra SR Turbo 2017 Automatico
* Ya con placas
* 67000 millas reales
* Cero checks, cero pilotos encendidos.
* Sunroof
* Mantenimiento al día Aceite sintentico 0w20 y filtros nuevos
* Frenos de disco en las 4 ruedas. Pastillas nuevas
* Paquete Electrico y luces LED.
* Rines originales 17 pulgadas
* Llantas nuevas 205/50/R 17
* Vehiculo traido con leve golpe Muestro fotos de como venia.
* Motor 1.6 super Turbo
* Transmicion Automatica
* Tapiceria e interiores como nuevos
* Pantalla con de 7 pulgadas blaupunk android auto
camara.de.retroceso
* Sistema de sonido.

A toda prueba solo para conocedores.
Vehiculo en perfecto estado 10 de 10 en pintura y detalles solo de subirse. Invierta su dinero bien en este vehiculo que vale la pena.",45
"Color : Blanco Se vende Mitsubishi G4 2018. Automático A/C. Bolsas buenas, cero código. Color blanco. Motor 1.2 Super económico. Cámara de retroceso, paquete eléctrico En perfectas condiciones. Precio $8,500",46
"Color : Gris Se vende Kia Río 2020. Automático, motor 1.6 Color gris metálico. Como nuevo. Paquete eléctrico, cámara de retroceso, vidrios eléctricos. En perfectas condiciones. Precio $10,500",47
"DESCRIPCIÓN ARTÍCULOS CALIFICACIONES SEGURIDAD Vehículo a toda prueba , aire acondicionado al cien, llantas nítidas, pintura buen estado, precio negociable, Información Tel.",48
Precio negociable: si Color : Rojo en restauracion,49
Garantía: Como es visto no hay garantía Precio negociable: si Color : amarillo DESCRIPCIÓN CALIFICACIONES SEGURIDAD,50
Precio negociable: si Color : Azul Se vende toyota yaris ia 2018 full extras nítido 66 mil millas paquete eléctrico cámara de retroceso pantalla táctil abordó llave de a proximidad botón de encendido motor 1.5 automático recién importado $11000 NEGOCIABLE,51
Precio negociable: si Bonito Nissan Versa 2020 Nueva Linea para que lo repare para quedarselo o venderlo Millaje bajo motor ahorrativo de conbustible. TEL.,52
"Financiamiento: no Precio negociable: si Color : Azul DESCRIPCIÓN CALIFICACIONES SEGURIDAD Vendo Kia Rio 2016, Standard, sin detalles, poco negociable, muestro en San Salvador y Sus Alrededores. Bien Cuidado. Mantenimientos al día, trato serio, no perdidas de tiempo.",53
"Garantía: Como es visto no hay garantía Financiamiento: no Color : Blanco DESCRIPCIÓN CALIFICACIONES SEGURIDAD Precioso sedan auromatico secuencial, motor 1.8 turbo gasolina , mantenimiento al día, aire acondicionado, potente audio de fabrica , interior de cuero , suspension suave , polarizado , color blanco liso, traspaso directo información por WHATSAPP",54
"Precio negociable: si Color : Negro Se vende Mitsubishi Lancer 2015 negociable con las siguientes especificaciones: - Motor 2,0 con sistema ECO - 62xxx MILLAS REALES - Sistema eléctrico en perfectas condiciones - Aire acondicionado al 100% - Ventanas y espejos eléctricos - Tapicería en perfecto estado - Pintura 9.5 / 10 (detalles pequeños) - Aceite de caja y filtro nuevo - Aceite de motor y filtro recién cambiado - Filtro de A/C recién cambiado - Alarma y cierre central Observaciones: - Piloto de TPMS y Bolsas de aire encendido, no afectan en nada al motor - Piloto de check Engine intermitente, por entradas de aire o mezla pobre, se están trabajando con mecánico actualmente",55
"Precio negociable: no DESCRIPCIÓN CALIFICACIONES SEGURIDAD Vendo Nissan Sentra 2013 automático Motor sin fallas, sin fugas ni ruidos Todas sus bolsas buenas Motor 1.8 súper económico Cero piloto encendido A/C nítido Traspaso directo $6200 FIJOS Muestro en gasolinera Texaco de San Rafael Cedros",56
"DESCRIPCIÓN CALIFICACIONES SEGURIDAD Hyundai Elantra 2015 - Pintura excelente - Cero ruidos de suspensión - mantenimiento recién hecho. - Esta nitido, asi que no va a durar mucho tiempo disponible. CONTACTAME ahora mismo!!! OTRAS CARACTERÍSTICAS: Motor 1.8 litros Motor y transmisión en muy buen estado Aire acondicionado helando bien Sistema ECO Caja automática secuencial Rines de fabrica Vidrios Eléctricos Espejos Eléctricos con memoria Mandos en el timon. Tapicería nitida TRASPASO DIRECTO - SE ACEPTA VEHICULO A CUENTA + RIBETE",57
"Color : Negro SEDAN FULL , MANDOS AL TIMON , TODASS LAS BOLSAS BUENAS , 28MIL MILLAS ORIGINALES, pantalla, camara , rines especiales traido con minimo golpe etc etc . . estara reparado a finales de marzo frente limpio CARRO QUE VALE LA PENA NO SE COMPLIQUE... CASH 8,800 . ya reparado incluyendo placas y mantenimiento solo de usarlo. RESERVELO. con 500.",58
Financiamiento: no DESCRIPCIÓN CALIFICACIONES SEGURIDAD Sentra Nissan $.poco negociable excelente condiciones sólo de subirse73milmillas reales,59
"Color : Negro MItsubishi Lancer 2009, motor 2.0 deportivo, automático, rines de 18 pulgadas, halógenos. modo sport con cambios en el timón.",60
"Precio negociable: si Color : Blanco DESCRIPCIÓN CALIFICACIONES SEGURIDAD Cualquier oferta es bienvenida. Vehículo automático, secuencial, ATF, Kia Río 2016. No busque carros que necesiten reparaciones. Motor GDI 1.6 Modo ECO Full paquete eléctrico. Sedan, 4 puertas. Vehículo económico. Aire acondicionado al 100% Sonido excelente. Le doy su mantenimiento cada 5mil millas. Puede usarlo para su trabajo o para dar paseos de inmediato. Escríbame para acordar un lugar y el día para mostrarlo y probarlo.",61
"Precio negociable: si Color : Negro DESCRIPCIÓN ARTÍCULOS CALIFICACIONES SEGURIDAD Ford en buen estado, rines originales, dos puertas",62
Color : Gris DESCRIPCIÓN CALIFICACIONES SEGURIDAD,63
Precio negociable: si Color : Plateado DESCRIPCIÓN CALIFICACIONES SEGURIDAD Tapicería en buen estado Pintura mínimos detalles Sistema eléctrico Transmisión automática secuencial Rines con copa Cinco llantas Aceite sintético (caja y motor) Bolsas de aire buenas,64
"Garantía: Como es visto no hay garantía Financiamiento: no Precio negociable: si Color : AZUL ¡VEHÍCULO EN CAMINO! CHEVROLET SPARK LS 2020 $7,350.00 (02) Para mayor información puede comunicarse al por medio de llamada o WhatsApp. Link pagina web: CARACTERÍSTICAS: - Arranca y rueda. - 83,903 Millas actuales. - Bolsas frontales buenas. - Llave presente. - Vidrios manuales. - Transmisión automatica. - Motor 1.4 L de 4 CIL. - Pantalla. - Halógenos. PRECIO: $7,350.00 FUERA DE ADUANA PARA MAYOR INFORMACIÓN COMUNICARSE AL TELÉFONO O WHATSAPP: / . #sedan #importaciondevehiculos #carros #ventadevehiculos #venta #importacion #ventacarros #Chevrolet #chevrolet #chevroletspark #chevroletspark #spark",65
Precio negociable: si Color : Gris Nissan Almera 2011 standard. Se muestra en Metapán durante la semana previo acuerdo y en Santa Ana el fin de semana.,66
"Precio negociable: si Color : GRIS Sunroof Pintura en excelentes condiciones A/C funcionando en perfectas condiciones Llantas bien grabadas Tapiceria en excelentes condiciones 7,000.00 neg",67
"Precio negociable: si Color : Blanco Mitsubishi Galant, 2009. Muy cómodo, cierre centralizado, con aire, transmisión automática, color blanco con detalles en pintura. Baúl amplio. Motor 2.4, fuerte. Traspaso directo, documentos en regla. Contacto acá o en Facebook vía messenger de KJ-Tienda virtual. Precio $4,200 poco negociable.",68
"Garantía: Como es visto no hay garantía Financiamiento: no Precio negociable: no Color : Gris DESCRIPCIÓN CALIFICACIONES SEGURIDAD Vendo toyota corolla 2016, automático con caja ATF, millas reales 114,000 vidrios eléctricos, control de audio al Timón, etc.",69
"Financiamiento: no Precio negociable: si Color : Blanco DESCRIPCIÓN CALIFICACIONES SEGURIDAD Vendo o cambio volkswagen jetta se año 2014 motor 1.8 turbo , mantenimiento al día, traspaso directo, interior de cuero, a prueba , mas información contactar por WHATSAPP",70
"BMW 328i, rines especiales, asientos de cuero, motor, suspensión y dirección en excelentes condiciones, 120000 kilómetros",71
Precio negociable: si DESCRIPCIÓN CALIFICACIONES SEGURIDAD Kilometraje: 75362,72
"Garantía: Como es visto no hay garantía Precio negociable: si Color : Blanco Año 1988 De agencia,nunca chocado Standard Motor 4cyl. 2.0 cc. Bateria nueva Llantas como nuevas Precio $ 4,000.00 Negociable",73
Color : Rojo y Negro Señor Guzmán contacto,74
Precio negociable: si Vendo mazda 3 año 2011 Mantenimiento al dia Aire helado al 100% Rines especiales Económico No gasta agua Cero fuga de aceite motor y caja nítida Poco negociable Muestro en gasolinera Texaco la unión A toda prueba Mi WhatsApp:,75
Financiamiento: no Precio negociable: si Color : Rojo Honda Civic Sport 2019,76
"Color : Plata Iridio Metalizado De agencia, para los más exigentes, con mucha comodidad y calidad. En excelente estado sin intermediarios, bolsas buenas, carrocería en perfecto estado, ha tenido uso familiar. Venta directa sin intermediarios.",77
Garantía: Como es visto no hay garantía Precio negociable: si Color : ocre Se vende Mitsubishi modelo Mirage año 2000 De uso diario Transmisión automática 4 puertas Aire acondicionado Tapicera en buen estado Estéreo Sony Motor 1.6 super económico Vidrios manuales Contiene sistema de alarma antirrobo Traspaso directo Detalles estéticos reparables,78
Garantía: Como es visto no hay garantía Financiamiento: no Color : Gris Plata DESCRIPCIÓN CALIFICACIONES SEGURIDAD Ford Focus 2007 en excelente estado. Sedan Automatico 4 puertas.,79
"Color : Rojo. Interesados Illamarme  . Version FULL EXTRAS 2013. Vendo NO cambios. Muestro en San Miguel. Motor 1.4 de 4 cilindros TURBO. Economico y Potente . Economia en consumo de combustible. Ideal para paseos en familia . Estilo Sedan 4 puertas + Baul espacioso. Transmision Manual 6 velocidades + Retroceso. Aire Acondicionado Heladito. Pantalla Tactil . Sonido Alpine potente Premium . USB , AUX , CD ,  AV , SD. Doble salida de escape. Apoya cabezas en todos los asientos. Tablero con luces Neon regulables. Camara de Retroceso. Vidrios y espejos electricos . Mandos al Timon . Frenos ABS . Bateria LTH HI TECH nueva. Baul Espacioso con su llanta de repuesto, mica y quita tuercas. Vidrios Polarizados . Mantenimientos al dia . Aceite de caja nuevo . Aceite de motor nuevo . Bujias nuevas . Sin fugas ni liqueos . Llantas perfil ancho casi nuevas. Ya solo esta de subirse . Motor parejito y suave . Sin pilotos encendidos.",80
